expName,curec_ID,session_nr,date,start_time,end_time,duration,participant,age,gender,trial_count,coherence,coherence_level,distance,distance_level,direction,reference,signal_delay,correct_response,participant_response,correct,correct_response_colour,participant_response_colour,response_time,confidence_rating,confidence_response_time,bonus_payment,n_blocks,n_trials_per_block,medium_coherence,medium_distance,coherence_step,distance_step
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,32,0.155,low,42.0,high,9.0,327.0,0.7608002598739112,CCW,CCW,True,orange,orange,159.2507091999869,None,None,None,8,30,0.31,21,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,33,0.62,high,10.5,low,217.0,227.5,0.6420707826372163,CW,CW,True,blue,blue,163.79659079998964,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,34,0.155,low,40.0,high,191.0,151.0,0.7791148358742035,CCW,CCW,True,blue,blue,168.98268209997332,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,35,0.62,high,10.0,low,127.0,117.0,0.4126972497541878,CCW,CCW,True,blue,blue,173.58482309998362,None,None,None,8,30,0.31,19,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,36,0.155,low,38.0,high,232.0,270.0,0.33245392399756996,CW,CW,True,blue,blue,178.2851675999991,None,None,None,8,30,0.31,19,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,37,0.62,high,9.5,low,168.0,177.5,0.5011525850151913,CW,CW,True,orange,orange,182.88542749997578,None,None,None,8,30,0.31,18,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,38,0.155,low,36.0,high,187.0,223.0,0.6351289296393687,CW,CCW,False,blue,orange,188.0262001999945,None,None,None,8,30,0.31,19,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,39,0.155,low,38.0,high,151.0,113.0,0.5180173401558584,CCW,CCW,True,blue,blue,192.77099749998888,None,None,None,8,30,0.31,19,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,40,0.62,high,9.5,low,287.0,296.5,0.69810479743829,CW,CCW,False,blue,orange,197.4651114999724,None,None,None,8,30,0.31,20,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,41,0.155,low,40.0,high,208.0,248.0,0.39607724046162823,CW,CCW,False,blue,orange,202.0748515999876,None,None,None,8,30,0.31,21,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,42,0.155,low,42.0,high,3.0,45.0,0.7095741631426966,CW,CW,True,orange,orange,207.1938889999874,None,None,None,8,30,0.31,21,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,43,0.155,low,42.0,high,13.0,55.0,0.7660344426155887,CW,CCW,False,orange,blue,211.9864892999758,None,None,None,8,30,0.31,22,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,44,0.155,low,44.0,high,23.0,339.0,0.7616241309013723,CCW,CW,False,orange,blue,217.135057699983,None,None,None,8,30,0.31,23,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,45,0.155,low,46.0,high,175.0,129.0,0.674272118044619,CCW,CCW,True,blue,blue,221.89823109999998,None,None,None,8,30,0.31,23,0.01,1
confidence-pgACC-TUS,R88533/RE002,1,2025-01-09_14h35.41.613,2025-01-09 14:35:46,None,None,999,,,46,0.155,low,46.0,high,103.0,149.0,0.7191135123682666,CW,CCW,False,orange,blue,226.61586809999426,None,None,None,8,30,0.31,24,0.01,1
